right_click,"65,235",,2.1020865440368652
wait,1,,
right_click,"185,225",,
insert,-,53,2.1020865440368652
down,tab,15,1.9583508968353271
insert,-,53,1.3736577033996582
down,tab,15,0.6075546741485596
insert,-,53,0.4314146041870117
down,tab,15,0.5069339275360107
insert,-,53,0.5480225086212158
down,tab,15,6.970691204071045
insert,-,53,0.5480225086212158
down,tab,15,6.970691204071045
insert,-,53,0.5480225086212158
down,tab,15,6.970691204071045
insert,-,53,0.5480225086212158
down,tab,15,6.970691204071045
insert,-,53,0.5480225086212158
down,tab,15,6.970691204071045
insert,-,53,0.5480225086212158
down,tab,15,6.970691204071045
insert,-,53,0.5480225086212158
down,tab,15,6.970691204071045
insert,-,53,0.5480225086212158
down,tab,15,6.970691204071045
insert,-,53,0.5480225086212158
down,tab,15,6.970691204071045
right_click,"496,537",,
down,home,15,6.970691204071045
down,down,15,6.970691204071045
down,enter,20,6.970691204071045
right_click,"625,625",,
right_click,"625,625",,